Accipiter bicolor,287.54,B
Accipiter brachyurus,142.0,B
Accipiter brevipes,186.48,B
Accipiter butleri,332.94,B
Accipiter castanilius,157.51,B
Accipiter chilensis,368.0,B
Accipiter chionogaster,332.94,B
Accipiter cirrocephalus,165.73,B
Accipiter collaris,332.94,B
Accipiter cooperii,429.67,B
Accipiter erythrauchen,156.0,B
Accipiter erythronemius,125.0,B
Accipiter erythropus,111.2,B
Accipiter fasciatus,358.66,B
Accipiter francesiae,136.82,B
Accipiter gentilis,866.04,B
Accipiter griseiceps,251.76,B
Accipiter gularis,120.66,B
Accipiter gundlachi,675.0,B
Accipiter haplochrous,198.41,B
Accipiter henicogrammus,332.94,B
Accipiter henstii,1050.0,B
Accipiter imitator,222.49,B
Accipiter luteoschistaceus,214.0,B
Accipiter madagascariensis,180.41,B
Accipiter melanochlamys,265.0,B
Accipiter melanoleucus,698.99,B
Accipiter meyerianus,763.54,B
Accipiter minullus,87.43,B
Accipiter nanus,332.94,B
Accipiter nisus,220.79,B
Accipiter novaehollandiae,326.06,B
Accipiter ovampensis,195.0,B
Accipiter poliocephalus,214.76,B
Accipiter poliogaster,1369.41,B
Accipiter princeps,332.94,B
Accipiter rhodogaster,172.71,B
Accipiter rufitorques,209.0,B
Accipiter rufiventris,198.0,B
Accipiter soloensis,164.77,B
Accipiter striatus,130.59,B
Accipiter superciliosus,99.51,B
Accipiter tachiro,381.0,B
Accipiter toussenelii,249.29,B
Accipiter trinotatus,146.0,B
Accipiter trivirgatus,265.04,B
Accipiter ventralis,233.0,B
Accipiter virgatus,116.99,B
Acerodon celebensis,385.613333333,M
Acerodon humilis,462.47,M
Acerodon jubatus,1084.01333333,M
Acerodon leucotis,462.47,M
Acerodon mackloti,467.42,M
Aceros cassidix,2360.0,B
Aceros comatus,1470.0,B
Aceros corrugatus,1590.0,B
Aceros everetti,1748.8,B
Aceros leucocephalus,1086.0,B
Aceros narcondami,697.17,B
Aceros nipalensis,2385.0,B
Aceros plicatus,1703.76,B
Aceros subruficollis,2042.0,B
Aceros undulatus,2214.55,B
Aceros waldeni,1748.8,B
Achaetops pycnopygius,28.3,B
Achalinus ater,21.0,R
Achalinus formosanus,27.0,R
Achalinus hainanus,12.0,R
Achalinus jinggangensis,29.0,R
Achalinus meiguensis,26.0,R
Achalinus niger,109.0,R
Achalinus rufescens,27.0,R
Achalinus spinalis,22.0,R
Achalinus werneri,44.0,R
Acinonyx jubatus,49259.3066667,M
Acomys airensis,28.81,M
Acomys cahirinus,44.9366666667,M
Acomys chudeaui,28.81,M
Acomys cilicicus,28.61,M
Acomys cineraceus,30.59,M
Acomys dimidiatus,28.81,M
Acomys ignitus,24.0,M
Acomys johannis,28.81,M
Acomys kempi,21.9966666667,M
Acomys louisae,20.1966666667,M
Acomys minous,62.5,M
Acomys mullah,28.74,M
Acomys nesiotes,28.67,M
Acomys percivali,21.9966666667,M
Acomys russatus,44.8333333333,M
Acomys seurati,28.81,M
Acomys spinosissimus,26.5,M
Acomys subspinosus,21.6066666667,M
Acomys wilsoni,18.5,M
Aconaemys fuscus,131.15,M
Aconaemys porteri,113.5,M
Aconaemys sagei,96.4966666667,M
Acontias aurantiacus,14.0,R
Acontias bicolor,13.0,R
Acontias breviceps,12.0,R
Acontias cregoi,7.0,R
Acontias gariepensis,5.0,R
Acontias gracilicauda,22.0,R
Acontias jappi,11.0,R
Acontias kgalagadi,10.0,R
Acontias lineatus,6.0,R
Acontias litoralis,4.0,R
Acontias meleagris,30.0,R
Acontias namaquensis,12.0,R
Acontias occidentalis,12.0,R
Acontias orientalis,13.0,R
Acontias percivali,22.0,R
Acontias plumbeus,100.0,R
Acontias poecilus,54.0,R
Acontias richardi,5.0,R
Acontias rieppeli,10.0,R
Acontias schmitzi,9.0,R
Acontias tristis,5.0,R
Acrantophis dumerili,2972.0,R
Acrantophis madagascariensis,13335.0,R
Acratosaura mentalis,5.0,R
Acratosaura spinosa,3.0,R
Acridotheres albocinctus,93.56,B
Acridotheres cinereus,93.56,B
Acridotheres cristatellus,116.31,B
Acridotheres fuscus,82.8,B
Acridotheres ginginianus,72.0,B
Acridotheres grandis,98.91,B
Acridotheres tristis,116.43,B
Acris blanchardi,3.8,A
Acris crepitans,1.69,A
Acris gryllus,3.03158812379,A
Acrobates pygmaeus,13.2466666667,M
Acrobatornis fonsecai,13.7,B
Acrocephalus aedon,22.4,B
Acrocephalus aequinoctialis,25.0,B
Acrocephalus agricola,9.6,B
Acrocephalus arundinaceus,30.0,B
Acrocephalus atyphus,31.21,B
Acrocephalus australis,17.7,B
Acrocephalus baeticatus,10.2,B
Acrocephalus bistrigiceps,8.67,B
Acrocephalus brevipennis,16.0,B
Acrocephalus caffer,31.21,B
Acrocephalus concinens,8.3,B
Acrocephalus dumetorum,11.2,B
Acrocephalus familiaris,18.3,B
Acrocephalus gracilirostris,14.4,B
Acrocephalus griseldis,16.7,B
Acrocephalus kerearako,22.5,B
Acrocephalus luscinius,30.55,B
Acrocephalus melanopogon,10.9,B
Acrocephalus mendanae,31.21,B
Acrocephalus newtoni,17.0,B
Acrocephalus orinus,24.2,B
Acrocephalus paludicola,11.6,B
Acrocephalus palustris,11.5,B
Acrocephalus rehsei,20.06,B
Acrocephalus rimatarae,26.5,B
Acrocephalus rodericanus,11.8,B
Acrocephalus rufescens,22.72,B
Acrocephalus schoenobaenus,11.83,B
Acrocephalus scirpaceus,12.3,B
Acrocephalus sechellensis,15.87,B
Acrocephalus sorghophilus,14.18,B
Acrocephalus stentoreus,24.2,B
Acrocephalus syrinx,20.06,B
Acrocephalus taiti,24.25,B
